,Person ID,First name,Last name,Party,Constituency,URI
50,24943,Paul,Blomfield,Labour,Sheffield Central,https://www.theyworkforyou.com/mp/24943/paul_blomfield/sheffield_central
51,10051,Crispin,Blunt,Conservative,Reigate,https://www.theyworkforyou.com/mp/10051/crispin_blunt/reigate
52,11915,Peter,Bone,Conservative,Wellingborough,https://www.theyworkforyou.com/mp/11915/peter_bone/wellingborough
53,25861,Steven,Bonnar,Scottish National Party,"Coatbridge, Chryston and Bellshill",https://www.theyworkforyou.com/mp/25861/steven_bonnar/coatbridge%2C_chryston_and_bellshill
54,10057,Peter,Bottomley,Conservative,Worthing West,https://www.theyworkforyou.com/mp/10057/peter_bottomley/worthing_west
55,25703,Andrew,Bowie,Conservative,West Aberdeenshire and Kincardine,https://www.theyworkforyou.com/mp/25703/andrew_bowie/west_aberdeenshire_and_kincardine
56,25683,Ben,Bradley,Conservative,Mansfield,https://www.theyworkforyou.com/mp/25683/ben_bradley/mansfield
57,24725,Karen,Bradley,Conservative,Staffordshire Moorlands,https://www.theyworkforyou.com/mp/24725/karen_bradley/staffordshire_moorlands
58,10061,Ben,Bradshaw,Labour,Exeter,https://www.theyworkforyou.com/mp/10061/ben_bradshaw/exeter
59,10062,Graham,Brady,Conservative,Altrincham and Sale West,https://www.theyworkforyou.com/mp/10062/graham_brady/altrincham_and_sale_west
60,13893,Mickey,Brady,Sinn Féin,Newry and Armagh,https://www.theyworkforyou.com/mp/13893/mickey_brady/newry_and_armagh
61,25272,Suella,Braverman,Conservative,Fareham,https://www.theyworkforyou.com/mp/25272/suella_braverman/fareham
62,10753,Kevin,Brennan,Labour,Cardiff West,https://www.theyworkforyou.com/mp/10753/kevin_brennan/cardiff_west
63,25698,Jack,Brereton,Conservative,Stoke-on-Trent South,https://www.theyworkforyou.com/mp/25698/jack_brereton/stoke-on-trent_south
64,24741,Andrew,Bridgen,Conservative,North West Leicestershire,https://www.theyworkforyou.com/mp/24741/andrew_bridgen/north_west_leicestershire
65,24901,Steve,Brine,Conservative,Winchester,https://www.theyworkforyou.com/mp/24901/steve_brine/winchester
66,25795,Paul,Bristow,Conservative,Peterborough,https://www.theyworkforyou.com/mp/25795/paul_bristow/peterborough
67,25876,Sara,Britcliffe,Conservative,Hyndburn,https://www.theyworkforyou.com/mp/25876/sara_britcliffe/hyndburn
68,25336,Deidre,Brock,Scottish National Party,Edinburgh North and Leith,https://www.theyworkforyou.com/mp/25336/deidre_brock/edinburgh_north_and_leith
69,25268,Alan,Brown,Scottish National Party,Kilmarnock and Loudoun,https://www.theyworkforyou.com/mp/25268/alan_brown/kilmarnock_and_loudoun
70,11921,Lyn,Brown,Labour,West Ham,https://www.theyworkforyou.com/mp/11921/lyn_brown/west_ham
71,10069,Nick,Brown,Labour,Newcastle upon Tyne East,https://www.theyworkforyou.com/mp/10069/nick_brown/newcastle_upon_tyne_east
